entity_ID	external_ID	link	source	Link_Resp
000097535	Q4311974	https://www.wikidata.org/wiki/Q4311974	wikidata	Sinai Rusinek
001403804	Q1947406	https://www.wikidata.org/wiki/Q1947406	wikidata	Sinai Rusinek
001476465	Q4328184	https://www.wikidata.org/wiki/Q4328184	wikidata	Sinai Rusinek
001468171	11291638	https://viaf.org/viaf/11291638	VIAF	Sinai Rusinek
000366429	43211222	https://viaf.org/viaf/43211222	VIAF	Sinai Rusinek
001691171	309821173	https://viaf.org/viaf/309821173	VIAF	Sinai Rusinek
000306807	31887654	https://viaf.org/viaf/31887654	VIAF	Sinai Rusinek
000399610	152908479	https://viaf.org/viaf/152908479	VIAF	Sinai Rusinek
001696494	68852050	https://viaf.org/viaf/68852050	VIAF	Sinai Rusinek
005035747	303882702	https://viaf.org/viaf/303882702	VIAF	Sinai Rusinek
000363893	238829560	https://viaf.org/viaf/238829560	VIAF	Sinai Rusinek
001478370	300566601	https://viaf.org/viaf/300566601	VIAF	Sinai Rusinek
005036005	24138899	https://viaf.org/viaf/24138899	VIAF	Sinai Rusinek
001696477	38894404	https://viaf.org/viaf/38894404	VIAF	Sinai Rusinek
000480809	9008156133241958430002	https://viaf.org/viaf/9008156133241958430002	VIAF	Sinai Rusinek
002044520	16553640	https://viaf.org/viaf/16553640	VIAF	Sinai Rusinek
000470557	32413790	https://viaf.org/viaf/32413790	VIAF	Sinai Rusinek
000097535	815272	https://viaf.org/viaf/815272	VIAF	Sinai Rusinek
000322553	147120231	https://viaf.org/viaf/147120231	VIAF	Sinai Rusinek
004895067	71151431616256302318	https://viaf.org/viaf/71151431616256302318	VIAF	Sinai Rusinek
000229738	195245545	https://viaf.org/viaf/195245545	VIAF	Sinai Rusinek
000097947	98080953	https://viaf.org/viaf/98080953	VIAF	Sinai Rusinek
001403804	41683270	https://viaf.org/viaf/41683270	VIAF	Sinai Rusinek
001476465	34047952	https://viaf.org/viaf/34047952	VIAF	Sinai Rusinek
001469503	30342973	https://viaf.org/viaf/30342973	VIAF	Sinai Rusinek
001468171		http://yleksikon.blogspot.com/2014/04/moyshe-avigal-b.html	Yiddish Leksikon	Sinai Rusinek
000366429		http://yleksikon.blogspot.com/2016/01/hirsh-beryozkin.html	Yiddish Leksikon	Sinai Rusinek
001691171		http://yleksikon.blogspot.com/2014/06/m-altshuler.html	Yiddish Leksikon	Sinai Rusinek
000306807		http:/yleksikon.blogspot.com/2016/01/dovid-bas.html	Yiddish Leksikon	Sinai Rusinek
000399610		http://yleksikon.blogspot.com/2017/12/noyekh-nakhbush.html	Yiddish Leksikon	Sinai Rusinek
001696494		http://yleksikon.blogspot.com/2016/02/mordkhe-holtsblat.html	Yiddish Leksikon	Sinai Rusinek
005035747		http://yleksikon.blogspot.com/2016/02/leyb-handelman.html	Yiddish Leksikon	Sinai Rusinek
000363893		http://yleksikon.blogspot.com/2016/02/emanuel-haken.html	Yiddish Leksikon	Sinai Rusinek
001478370		http://yleksikon.blogspot.com/2016/02/yitskhok-horovits_22.html	Yiddish Leksikon	Sinai Rusinek
005036005		http://yleksikon.blogspot.com/2016/02/naftoli-horovits-naftali-horowitz.html	Yiddish Leksikon	Sinai Rusinek
001696477		http://yleksikon.blogspot.com/2016/02/motl-hartsman.html	Yiddish Leksikon	Sinai Rusinek
000480809		http://yleksikon.blogspot.com/2016/03/shimen-huberband.html	Yiddish Leksikon	Sinai Rusinek
002044520		http://yleksikon.blogspot.com/2016/03/khaye-huberman.html	Yiddish Leksikon	Sinai Rusinek
000470557		http://yleksikon.blogspot.com/2016/03/borekh-hoykhman.html	Yiddish Leksikon	Sinai Rusinek
001696495		http://yleksikon.blogspot.com/2016/03/meyer-hurvits.html	Yiddish Leksikon	Sinai Rusinek
000097535		http://yleksikon.blogspot.com/2017/12/moyshe-moishe-nadir.html	Yiddish Leksikon	Sinai Rusinek
000322553		http://yleksikon.blogspot.com/2017/12/khatzkl-nadel.html	Yiddish Leksikon	Sinai Rusinek
000180264		http://yleksikon.blogspot.com/2017/12/emanuel-novogrudski.html	Yiddish Leksikon	Sinai Rusinek
004895067		http://yleksikon.blogspot.com/2017/12/kopl-novik.html	Yiddish Leksikon	Sinai Rusinek
000229738		http://yleksikon.blogspot.com/2017/12/avrom-novershtern.html	Yiddish Leksikon	Sinai Rusinek
000097947		http://yleksikon.blogspot.com/2018/01/yisroel-naroditski.html	Yiddish Leksikon	Sinai Rusinek
001403804		http://yleksikon.blogspot.com/2018/01/mortkhe-narkis-m-narkiss.html	Yiddish Leksikon	Sinai Rusinek
001476465		http://yleksikon.blogspot.com/2018/01/yitskhok-nusinov.html	Yiddish Leksikon	Sinai Rusinek
001469503		http://yleksikon.blogspot.com/2018/01/avrom-nakhtumi.html	Yiddish Leksikon	Sinai Rusinek
